Year,Make,Model,BoatType,EngineHP,EngineHours,TrailerIncluded,CosmeticCondition,MechanicalCondition,TradeInValueCAD
2018,Legend,F17,Fishing,90,150,Yes,Good,Turn-Key,22500
2020,Princecraft,Vectra 21 RL,Pontoon,115,80,Yes,Excellent,Turn-Key,38000
2015,Bayliner,175 Bowrider,Bowrider,135,250,No,Fair,Minor Issues,14000
2019,Lund,1650 Rebel XL,Fishing,60,110,Yes,Good,Turn-Key,19500
2017,Bennington,22 SSRX,Pontoon,90,200,No,Excellent,Turn-Key,31000
2021,Sea Ray,SPX 190,Bowrider,150,50,Yes,Excellent,Turn-Key,45000
2016,Crestliner,1650 Discovery,Fishing,75,180,Yes,Fair,Turn-Key,17000
2018,Tahoe,1950,Deck Boat,150,130,Yes,Good,Minor Issues,28500
2012,Glastron,GT 185,Bowrider,190,350,No,Poor,Needs Repair,9000
2019,Manitou,Aurora LE,Pontoon,150,95,Yes,Good,Turn-Key,36500
2022,Legend,12 Ultralight PLX54127F122,,4,,No,,,2000
2022,Legend,18 XTE Sport,,115,,Yes,,,31000
2013,Boston Whaler,Super Sport 150,,60,,Yes,,,13582
2023,Legend,Q-Series Cottage Sport Pro (Black) 150 HP,,150,,Yes,,,61099
2007,Silvan,1900 Pro Sport,,135,,Yes,,,10000
2018,Legend,X16,,60,251,Yes,,,24000
2023,Legend,X16,,90,,Yes,,,30000
2008,Legend,16 Xcalibur,,60,,Yes,,,10000
2004,Seadoo,Speedster,,,,Yes,,,1700
2018,Chaparral,19 H20,,,,Yes,,,40000
2004,Sea Swirl,175,,3,,Yes,,,8000
2021,Legend,16 XTE SC Sport,,90,,Yes,,,23000
2013,Starcraft,185,,4,,Yes,,,6000
2006,Legend,16 Xterminator,,40,,Yes,,,8500
2020,Legend,Vibe D23,,250,,Yes,,,88700
2019,Legend,18 XTR Troller,,115,,Yes,,,38000
2023,Princecraft,Resorter 160 DL SC,,40,,Yes,,,22000
2023,Legend,X16,,90,62,Yes,,,31500
2013,Legend,16 Xcalibur,,60,,Yes,,,12500
2015,Legend,16 Xterminator,,40,,Yes,,,12500
2022,Legend,18 XTR,,115,,Yes,,,43008
2022,Legend,18 XTE SPORT,,115,,Yes,,,33000
2021,Lowe,SS210,,60,,Yes,,,32000
2023,Armada,TOPFISH TF 147,,50,,Yes,,,14000
2016,Princecraft,Fisherman 14,,9,,Yes,,,4000
2022,Legend,16 XTE SC,,90,,Yes,,,19000
2018,Legend,18 XTR,,115,,Yes,,,28912
2019,Legend,16 XTE SPORT,,60,,Yes,,,17889
2023,Legend,18 XTR,,115,,Yes,,,40000
2018,Legend,18 XTR,,115,,Yes,,,30000
2008,Legend,Luxura,,90,,Yes,,,12000
2011,Bayliner,185 BR,,3,,Yes,,,14000
2021,Legend,18 XTR Troller,,115,,Yes,,,44250
2016,Legend,16 Xterminator,,50,,Yes,,,15000
2021,Legend,F17,,90,,Yes,,,33500
2016,Legend,X16,,90,,Yes,,,28500
2022,StarCraft,EX 18 (PONTOON),,50,,No,,,23000
2018,Legend,16 Widebody,,30,,Yes,,,6000
2022,Legend,14 Widebody,,25,,Yes,,,7500
2022,Legend,16 XTR SC Sport,,90,,Yes,,,25379
2022,Legend,14 Prosport LS,,25,,Yes,,,14000
2008,Legend,16 Xcalibur,,60,996,Yes,,,10000
2022,Legend,18 XTE Sport,,90,,Yes,,,28700
2021,Legend,16 XTE Sport,,75,,Yes,,,24500
2016,Legend,X18,,115,,Yes,,,25772
2019,Legend,15 Allsport,,40,,Yes,,,14000
2023,Legend,X18 (Cognac),,115,,Yes,,,51000
